Name,Description,Price,Quantity,Stock,Published,Categories,Default Category
"Asparagus","Premium Asparagus from selected farms",40,"200 g",30,true,"Vegetables & Fruits; Exotic Fruits & Veggies","Vegetables & Fruits"
"Organic Carrot","Certified Organic Carrot from organic farms",30,"500 g",40,true,"Vegetables & Fruits; Organic Produce","Vegetables & Fruits"
"Organic Spinach","Certified Organic Spinach from organic farms",25,"200 g",35,true,"Vegetables & Fruits; Organic Produce","Vegetables & Fruits"
"Organic Tomato","Certified Organic Tomato from organic farms",28,"500 g",45,true,"Vegetables & Fruits; Organic Produce","Vegetables & Fruits"
"Organic Cucumber","Certified Organic Cucumber from organic farms",22,"500 g",50,true,"Vegetables & Fruits; Organic Produce","Vegetables & Fruits"
"Organic Beetroot","Certified Organic Beetroot from organic farms",25,"500 g",40,true,"Vegetables & Fruits; Organic Produce","Vegetables & Fruits"
"Chopped Onions","Freshly Chopped Onions ready to use",20,"200 g",30,true,"Vegetables & Fruits; Cut & Peeled Veggies","Vegetables & Fruits"
"Diced Tomatoes","Freshly Diced Tomatoes ready to use",22,"200 g",25,true,"Vegetables & Fruits; Cut & Peeled Veggies","Vegetables & Fruits"
"Grated Carrot","Freshly Grated Carrot ready to use",25,"200 g",20,true,"Vegetables & Fruits; Cut & Peeled Veggies","Vegetables & Fruits"
"Peeled Garlic","Freshly Peeled Garlic ready to use",18,"100 g",35,true,"Vegetables & Fruits; Cut & Peeled Veggies","Vegetables & Fruits"
"Mixed Veggies Pack","Assorted Cut Vegetables ready for cooking",35,"500 g",40,true,"Vegetables & Fruits; Cut & Peeled Veggies","Vegetables & Fruits"
"Amul Toned Milk","Fresh Amul Toned Milk",25,"500 ml",100,true,"Dairy & Breakfast; Milk","Dairy & Breakfast"
"Mother Dairy Full Cream Milk","Rich Mother Dairy Full Cream Milk",30,"500 ml",90,true,"Dairy & Breakfast; Milk","Dairy & Breakfast"
"Nestlé A+ Slim Milk","Low-fat Nestlé A+ Slim Milk",28,"500 ml",80,true,"Dairy & Breakfast; Milk","Dairy & Breakfast"
"Gowardhan Cow Milk","Pure Gowardhan Cow Milk",32,"500 ml",70,true,"Dairy & Breakfast; Milk","Dairy & Breakfast"
"Heritage Buffalo Milk","Rich Heritage Buffalo Milk",35,"500 ml",60,true,"Dairy & Breakfast; Milk","Dairy & Breakfast"
"Amul Masti Dahi","Creamy Amul Masti Dahi",25,"400 g",85,true,"Dairy & Breakfast; Curd & Yogurt","Dairy & Breakfast"
"Nestlé A+ Greek Yogurt","Protein-rich Nestlé A+ Greek Yogurt",40,"400 g",60,true,"Dairy & Breakfast; Curd & Yogurt","Dairy & Breakfast"
"Mother Dairy Mishti Doi","Sweet Mother Dairy Mishti Doi",30,"400 g",70,true,"Dairy & Breakfast; Curd & Yogurt","Dairy & Breakfast"
"Epigamia Natural Yogurt","Smooth Epigamia Natural Yogurt",45,"400 g",50,true,"Dairy & Breakfast; Curd & Yogurt","Dairy & Breakfast"
"Danone Flavored Yogurt","Delicious Danone Flavored Yogurt",38,"400 g",55,true,"Dairy & Breakfast; Curd & Yogurt","Dairy & Breakfast"
"Amul Butter","Classic Amul Butter",45,"100 g",90,true,"Dairy & Breakfast; Butter & Cream","Dairy & Breakfast"
"Mother Dairy Butter","Creamy Mother Dairy Butter",42,"100 g",80,true,"Dairy & Breakfast; Butter & Cream","Dairy & Breakfast"
"President Unsalted Butter","Premium President Unsalted Butter",55,"100 g",60,true,"Dairy & Breakfast; Butter & Cream","Dairy & Breakfast"
"Amul Fresh Cream","Rich Amul Fresh Cream",35,"200 ml",70,true,"Dairy & Breakfast; Butter & Cream","Dairy & Breakfast"
"Nestlé Cream","Smooth Nestlé Cream",40,"200 ml",65,true,"Dairy & Breakfast; Butter & Cream","Dairy & Breakfast"
"Lay's Classic Salted Chips","Crispy Lay's Classic Salted Chips",20,"60 g",120,true,"Munchies; Chips & Wafers","Munchies"
"Bingo Mad Angles","Tangy Bingo Mad Angles",25,"65 g",110,true,"Munchies; Chips & Wafers","Munchies"
"Pringles Original","Crunchy Pringles Original",85,"110 g",70,true,"Munchies; Chips & Wafers","Munchies"
"Haldiram's Aloo Bhujia","Spicy Haldiram's Aloo Bhujia",55,"350 g",90,true,"Munchies; Chips & Wafers","Munchies"
"Uncle Chipps Spicy Treat","Flavorful Uncle Chipps Spicy Treat",22,"60 g",100,true,"Munchies; Chips & Wafers","Munchies"
"Coca-Cola","Refreshing Coca-Cola",35,"750 ml",150,true,"Cold Drinks & Juices; Soft Drinks","Cold Drinks & Juices"
"Pepsi","Classic Pepsi",35,"750 ml",140,true,"Cold Drinks & Juices; Soft Drinks","Cold Drinks & Juices"
"Sprite","Lemon-lime Sprite",35,"750 ml",130,true,"Cold Drinks & Juices; Soft Drinks","Cold Drinks & Juices"
"Thums Up","Strong Thums Up",35,"750 ml",120,true,"Cold Drinks & Juices; Soft Drinks","Cold Drinks & Juices"
"Fanta","Orange-flavored Fanta",35,"750 ml",110,true,"Cold Drinks & Juices; Soft Drinks","Cold Drinks & Juices"
"Real Mixed Fruit Juice","Nutritious Real Mixed Fruit Juice",45,"1 L",95,true,"Cold Drinks & Juices; Fruit Juices","Cold Drinks & Juices"
"Tropicana Orange Juice","Refreshing Tropicana Orange Juice",55,"1 L",85,true,"Cold Drinks & Juices; Fruit Juices","Cold Drinks & Juices"
"B Natural Apple Juice","Pure B Natural Apple Juice",50,"1 L",80,true,"Cold Drinks & Juices; Fruit Juices","Cold Drinks & Juices"
"Paper Boat Aamras","Delicious Paper Boat Aamras",60,"1 L",70,true,"Cold Drinks & Juices; Fruit Juices","Cold Drinks & Juices"
Minute Maid Pulpy Orange,Pulpy Minute Maid Orange Juice,45,1 L,90,true,"Cold Drinks & Juices; Fruit Juices","Cold Drinks & Juices"
