Name,Description,Price,Quantity,Stock,Published,Categories,Default Category
"Schweppes","Tonic water",45,"300 ml",100,true,"Beverages; Water & Soda","Beverages"

"Kellogg's Corn Flakes","Original corn flakes",180,"500 g",100,true,"Breakfast & Instant Food; Cereals","Breakfast & Instant Food"
"Chocos","Chocolate flavored cereal",220,"400 g",85,true,"Breakfast & Instant Food; Cereals","Breakfast & Instant Food"
"Muesli","Mixed fruit muesli",250,"500 g",75,true,"Breakfast & Instant Food; Cereals","Breakfast & Instant Food"
"Fitness Flakes","Whole grain fitness flakes",200,"450 g",90,true,"Breakfast & Instant Food; Cereals","Breakfast & Instant Food"
"Fruit Loops","Colorful fruit loops cereal",240,"300 g",60,true,"Breakfast & Instant Food; Cereals","Breakfast & Instant Food"
"Quaker Oats","Traditional oats",130,"1 kg",150,true,"Breakfast & Instant Food; Oats & Porridge","Breakfast & Instant Food"
"Saffola Oats","Masala oats",150,"400 g",120,true,"Breakfast & Instant Food; Oats & Porridge","Breakfast & Instant Food"
"Porridge Mix","Mixed grain porridge",180,"500 g",80,true,"Breakfast & Instant Food; Oats & Porridge","Breakfast & Instant Food"
"Steel Cut Oats","Premium steel cut oats",220,"500 g",70,true,"Breakfast & Instant Food; Oats & Porridge","Breakfast & Instant Food"
"Flavored Oats","Various flavored instant oats",160,"400 g",100,true,"Breakfast & Instant Food; Oats & Porridge","Breakfast & Instant Food"
"MTR Upma","Ready to eat upma",90,"300 g",120,true,"Breakfast & Instant Food; Ready-to-Eat","Breakfast & Instant Food"
"Poha Mix","Instant poha mix",85,"200 g",100,true,"Breakfast & Instant Food; Ready-to-Eat","Breakfast & Instant Food"
"Idli Mix","Instant idli mix",95,"500 g",90,true,"Breakfast & Instant Food; Ready-to-Eat","Breakfast & Instant Food"
"Dosa Mix","Instant dosa mix",100,"500 g",85,true,"Breakfast & Instant Food; Ready-to-Eat","Breakfast & Instant Food"
"Vermicelli","Roasted vermicelli",45,"500 g",150,true,"Breakfast & Instant Food; Ready-to-Eat","Breakfast & Instant Food"

"Lizol","Floor cleaner disinfectant",180,"1 L",120,true,"Cleaning Essentials; Floor Cleaners","Cleaning Essentials"
"Domex","Toilet floor cleaner",160,"1 L",100,true,"Cleaning Essentials; Floor Cleaners","Cleaning Essentials"
"Mr Muscle","All purpose floor cleaner",200,"1 L",90,true,"Cleaning Essentials; Floor Cleaners","Cleaning Essentials"
"Phenyl","Basic floor disinfectant",120,"2 L",150,true,"Cleaning Essentials; Floor Cleaners","Cleaning Essentials"
"Floor Wipes","Disposable floor cleaning wipes",250,"30 pcs",80,true,"Cleaning Essentials; Floor Cleaners","Cleaning Essentials"
"Vim Bar","Dishwashing bar",20,"200 g",200,true,"Cleaning Essentials; Dishwashers","Cleaning Essentials"
"Vim Liquid","Liquid dish soap",90,"500 ml",150,true,"Cleaning Essentials; Dishwashers","Cleaning Essentials"
"Pril","Premium dish cleaning liquid",130,"750 ml",120,true,"Cleaning Essentials; Dishwashers","Cleaning Essentials"
"Scotch Brite","Scrub pad pack",40,"3 pcs",180,true,"Cleaning Essentials; Dishwashers","Cleaning Essentials"
"Steel Scrubber","Steel wool scrubber",30,"3 pcs",160,true,"Cleaning Essentials; Dishwashers","Cleaning Essentials"
"Harpic","Toilet cleaner",90,"500 ml",140,true,"Cleaning Essentials; Bathroom Cleaners","Cleaning Essentials"
"Colin","Glass & surface cleaner",120,"500 ml",130,true,"Cleaning Essentials; Bathroom Cleaners","Cleaning Essentials"
"Bathroom Wipes","Disinfectant bathroom wipes",180,"30 pcs",100,true,"Cleaning Essentials; Bathroom Cleaners","Cleaning Essentials"
"Tile Cleaner","Specialized tile cleaner",220,"1 L",80,true,"Cleaning Essentials; Bathroom Cleaners","Cleaning Essentials"
"Drain Cleaner","Professional drain cleaner",150,"500 ml",90,true,"Cleaning Essentials; Bathroom Cleaners","Cleaning Essentials"

"Almonds","Premium California almonds",450,"500 g",100,true,"Dry Fruits, Masala & Oil; Nuts & Dry Fruits","Dry Fruits, Masala & Oil"
"Cashews","Premium whole cashews",550,"500 g",90,true,"Dry Fruits, Masala & Oil; Nuts & Dry Fruits","Dry Fruits, Masala & Oil"
"Raisins","Golden raisins",180,"500 g",120,true,"Dry Fruits, Masala & Oil; Nuts & Dry Fruits","Dry Fruits, Masala & Oil"
"Mixed Dry Fruits","Assorted dry fruits pack",650,"1 kg",80,true,"Dry Fruits, Masala & Oil; Nuts & Dry Fruits","Dry Fruits, Masala & Oil"
"Walnuts","Premium walnuts",600,"500 g",70,true,"Dry Fruits, Masala & Oil; Nuts & Dry Fruits","Dry Fruits, Masala & Oil"
"Garam Masala","Blended spice mix",90,"100 g",150,true,"Dry Fruits, Masala & Oil; Spices & Masalas","Dry Fruits, Masala & Oil"
"Turmeric Powder","Pure turmeric powder",45,"200 g",180,true,"Dry Fruits, Masala & Oil; Spices & Masalas","Dry Fruits, Masala & Oil"
"Red Chilli Powder","Hot red chilli powder",60,"200 g",160,true,"Dry Fruits, Masala & Oil; Spices & Masalas","Dry Fruits, Masala & Oil"
"Coriander Powder","Ground coriander",40,"200 g",170,true,"Dry Fruits, Masala & Oil; Spices & Masalas","Dry Fruits, Masala & Oil"
"Black Pepper","Whole black pepper",120,"100 g",140,true,"Dry Fruits, Masala & Oil; Spices & Masalas","Dry Fruits, Masala & Oil"
"Olive Oil","Extra virgin olive oil",550,"1 L",80,true,"Dry Fruits, Masala & Oil; Cooking Oils","Dry Fruits, Masala & Oil"
"Sunflower Oil","Refined sunflower oil",180,"1 L",150,true,"Dry Fruits, Masala & Oil; Cooking Oils","Dry Fruits, Masala & Oil"
"Mustard Oil","Pure mustard oil",220,"1 L",120,true,"Dry Fruits, Masala & Oil; Cooking Oils","Dry Fruits, Masala & Oil"
"Groundnut Oil","Pure groundnut oil",210,"1 L",100,true,"Dry Fruits, Masala & Oil; Cooking Oils","Dry Fruits, Masala & Oil"
"Rice Bran Oil","Healthy rice bran oil",195,"1 L",110,true,"Dry Fruits, Masala & Oil; Cooking Oils","Dry Fruits, Masala & Oil"

"Farm Eggs","Fresh farm eggs",80,"12 pcs",200,true,"Eggs, Meat & Fish; Eggs","Eggs, Meat & Fish"
"Brown Eggs","Organic brown eggs",100,"12 pcs",150,true,"Eggs, Meat & Fish; Eggs","Eggs, Meat & Fish"
"Quail Eggs","Fresh quail eggs",120,"24 pcs",80,true,"Eggs, Meat & Fish; Eggs","Eggs, Meat & Fish"
"Duck Eggs","Fresh duck eggs",150,"6 pcs",60,true,"Eggs, Meat & Fish; Eggs","Eggs, Meat & Fish"
"Country Eggs","Natural country eggs",90,"12 pcs",180,true,"Eggs, Meat & Fish; Eggs","Eggs, Meat & Fish"
"Chicken Breast","Boneless chicken breast",220,"500 g",100,true,"Eggs, Meat & Fish; Chicken & Poultry","Eggs, Meat & Fish"
"Whole Chicken","Cleaned whole chicken",280,"1 kg",80,true,"Eggs, Meat & Fish; Chicken & Poultry","Eggs, Meat & Fish"
"Chicken Drumsticks","Fresh chicken drumsticks",200,"500 g",90,true,"Eggs, Meat & Fish; Chicken & Poultry","Eggs, Meat & Fish"
"Chicken Mince","Ground chicken meat",250,"500 g",70,true,"Eggs, Meat & Fish; Chicken & Poultry","Eggs, Meat & Fish"
"Turkey","Premium turkey meat",450,"1 kg",40,true,"Eggs, Meat & Fish; Chicken & Poultry","Eggs, Meat & Fish"
"Rohu Fish","Fresh rohu fish",280,"1 kg",60,true,"Eggs, Meat & Fish; Fish & Seafood","Eggs, Meat & Fish"
"Prawns","Fresh prawns",400,"500 g",50,true,"Eggs, Meat & Fish; Fish & Seafood","Eggs, Meat & Fish"
"Pomfret","Fresh pomfret fish",500,"1 kg",40,true,"Eggs, Meat & Fish; Fish & Seafood","Eggs, Meat & Fish"
"Tuna","Fresh tuna cuts",350,"500 g",45,true,"Eggs, Meat & Fish; Fish & Seafood","Eggs, Meat & Fish"
"Mackerel","Fresh mackerel fish",300,"1 kg",55,true,"Eggs, Meat & Fish; Fish & Seafood","Eggs, Meat & Fish"

"Basmati Rice","Premium long grain basmati rice",120,"1 kg",150,true,"Foodgrains, Oil & Masala; Rice & Rice Products","Foodgrains, Oil & Masala"
"Sona Masoori Rice","Popular sona masoori rice",100,"1 kg",180,true,"Foodgrains, Oil & Masala; Rice & Rice Products","Foodgrains, Oil & Masala"
"Brown Rice","Healthy brown rice",140,"1 kg",120,true,"Foodgrains, Oil & Masala; Rice & Rice Products","Foodgrains, Oil & Masala"
"Jeera Rice","Aromatic jeera rice",110,"1 kg",160,true,"Foodgrains, Oil & Masala; Rice & Rice Products","Foodgrains, Oil & Masala"
"Poha","Flattened rice poha",45,"500 g",200,true,"Foodgrains, Oil & Masala; Rice & Rice Products","Foodgrains, Oil & Masala"
"Wheat Flour","Fine wheat flour",50,"1 kg",250,true,"Foodgrains, Oil & Masala; Flours & Grains","Foodgrains, Oil & Masala"
"Ragi Flour","Nutritious ragi flour",80,"1 kg",150,true,"Foodgrains, Oil & Masala; Flours & Grains","Foodgrains, Oil & Masala"
"Bajra Flour","Pearl millet flour",70,"1 kg",180,true,"Foodgrains, Oil & Masala; Flours & Grains","Foodgrains, Oil & Masala"
"Jowar Flour","Sorghum flour",75,"1 kg",160,true,"Foodgrains, Oil & Masala; Flours & Grains","Foodgrains, Oil & Masala"
"Maida","Refined wheat flour",45,"1 kg",220,true,"Foodgrains, Oil & Masala; Flours & Grains","Foodgrains, Oil & Masala"
"Toor Dal","Split pigeon peas",120,"1 kg",140,true,"Foodgrains, Oil & Masala; Pulses","Foodgrains, Oil & Masala"
"Moong Dal","Split green gram",130,"1 kg",130,true,"Foodgrains, Oil & Masala; Pulses","Foodgrains, Oil & Masala"
"Urad Dal","Split black gram",140,"1 kg",120,true,"Foodgrains, Oil & Masala; Pulses","Foodgrains, Oil & Masala"
"Chana Dal","Split Bengal gram",110,"1 kg",150,true,"Foodgrains, Oil & Masala; Pulses","Foodgrains, Oil & Masala"
"Masoor Dal","Split red lentils",100,"1 kg",160,true,"Foodgrains, Oil & Masala; Pulses","Foodgrains, Oil & Masala"

"Lindt Chocolate","Premium Swiss chocolate",250,"100 g",100,true,"Gourmet & World Food; Chocolates","Gourmet & World Food"
"Ferrero Rocher","Luxury chocolate collection",450,"300 g",80,true,"Gourmet & World Food; Chocolates","Gourmet & World Food"
"Toblerone","Swiss milk chocolate",350,"200 g",90,true,"Gourmet & World Food; Chocolates","Gourmet & World Food"
"Godiva","Belgian chocolate box",800,"200 g",60,true,"Gourmet & World Food; Chocolates","Gourmet & World Food"
"KitKat","Japanese matcha KitKat",200,"100 g",120,true,"Gourmet & World Food; Chocolates","Gourmet & World Food"
"Pasta Set","Italian pasta variety pack",350,"1 kg",80,true,"Gourmet & World Food; International Cuisine","Gourmet & World Food"
"Olive Tapenade","Mediterranean olive spread",280,"200 g",70,true,"Gourmet & World Food; International Cuisine","Gourmet & World Food"
"Thai Curry Paste","Authentic Thai curry paste",180,"200 g",90,true,"Gourmet & World Food; International Cuisine","Gourmet & World Food"
"Mexican Salsa","Traditional Mexican salsa",150,"300 g",100,true,"Gourmet & World Food; International Cuisine","Gourmet & World Food"
"Korean Kimchi","Fermented Korean kimchi",220,"500 g",60,true,"Gourmet & World Food; International Cuisine","Gourmet & World Food"
"Gourmet Popcorn","Premium flavored popcorn",180,"200 g",120,true,"Gourmet & World Food; Premium Snacks","Gourmet & World Food"
"Artisanal Cookies","Handcrafted cookies",250,"300 g",90,true,"Gourmet & World Food; Premium Snacks","Gourmet & World Food"
"Luxury Nuts Mix","Premium mixed nuts",450,"500 g",70,true,"Gourmet & World Food; Premium Snacks","Gourmet & World Food"
"Gourmet Crackers","Artisanal cheese crackers",200,"200 g",100,true,"Gourmet & World Food; Premium Snacks","Gourmet & World Food"
"Premium Dried Fruits","Luxury dried fruit mix",350,"500 g",80,true,"Gourmet & World Food; Premium Snacks","Gourmet & World Food"

"Non-stick Pan Set","Premium non-stick cookware set",1200,"3 pcs",50,true,"Household Needs; Kitchen Tools","Household Needs"
"Stainless Steel Utensils","Complete kitchen utensil set",800,"10 pcs",60,true,"Household Needs; Kitchen Tools","Household Needs"
"Knife Set","Professional knife set",600,"6 pcs",70,true,"Household Needs; Kitchen Tools","Household Needs"
"Cutting Board","Bamboo cutting board",250,"piece",100,true,"Household Needs; Kitchen Tools","Household Needs"
"Kitchen Scale","Digital kitchen scale",350,"piece",80,true,"Household Needs; Kitchen Tools","Household Needs"
"Wall Clock","Modern wall clock",450,"piece",90,true,"Household Needs; Home Decor","Household Needs"
"Photo Frames","Set of 3 photo frames",350,"set",70,true,"Household Needs; Home Decor","Household Needs"
"Table Runner","Decorative table runner",200,"piece",120,true,"Household Needs; Home Decor","Household Needs"
"Curtains","Window curtains",800,"pair",60,true,"Household Needs; Home Decor","Household Needs"
"Cushion Covers","Decorative cushion covers",250,"set of 2",100,true,"Household Needs; Home Decor","Household Needs"
"Washing Powder","Premium washing powder",180,"2 kg",150,true,"Household Needs; Laundry Essentials","Household Needs"
"Fabric Softener","Liquid fabric softener",120,"1 L",130,true,"Household Needs; Laundry Essentials","Household Needs"
"Stain Remover","Advanced stain remover",150,"500 ml",140,true,"Household Needs; Laundry Essentials","Household Needs"
"Laundry Basket","Plastic laundry basket",250,"piece",90,true,"Household Needs; Laundry Essentials","Household Needs"
"Clothes Hangers","Plastic clothes hangers",200,"10 pcs",120,true,"Household Needs; Laundry Essentials","Household Needs"

"Lay's Classic","Classic salted potato chips",20,"30 g",200,true,"Munchies; Chips & Crisps","Munchies"
"Kurkure","Spicy masala munchies",20,"30 g",180,true,"Munchies; Chips & Crisps","Munchies"
"Pringles","Original potato crisps",100,"110 g",150,true,"Munchies; Chips & Crisps","Munchies"
"Doritos","Nacho cheese chips",30,"30 g",170,true,"Munchies; Chips & Crisps","Munchies"
"Cheetos","Cheese flavored snacks",20,"30 g",190,true,"Munchies; Chips & Crisps","Munchies"
"Act II Popcorn","Butter flavored popcorn",45,"100 g",160,true,"Munchies; Popcorn","Munchies"
"Pop Secret","Movie theater popcorn",50,"100 g",140,true,"Munchies; Popcorn","Munchies"
"Smartfood Popcorn","White cheddar popcorn",60,"100 g",130,true,"Munchies; Popcorn","Munchies"
"Orville Popcorn","Classic popcorn kernels",40,"200 g",150,true,"Munchies; Popcorn","Munchies"
"Jolly Time Popcorn","Premium popcorn",55,"100 g",120,true,"Munchies; Popcorn","Munchies"
"Oreo Cookies","Classic chocolate cookies",30,"150 g",180,true,"Munchies; Cookies & Biscuits","Munchies"
"Good Day Cookies","Butter cookies",25,"150 g",200,true,"Munchies; Cookies & Biscuits","Munchies"
"Hide & Seek","Chocolate chip cookies",35,"150 g",170,true,"Munchies; Cookies & Biscuits","Munchies"
"Parle-G","Classic glucose biscuits",10,"150 g",250,true,"Munchies; Cookies & Biscuits","Munchies"
"Marie Gold","Light tea biscuits",20,"150 g",220,true,"Munchies; Cookies & Biscuits","Munchies"

"Haldiram's Aloo Bhujia","Classic potato bhujia",55,"350 g",150,true,"Namkeen & Snacks; Traditional Namkeen","Namkeen & Snacks"
"Moong Dal","Crispy moong dal",45,"200 g",180,true,"Namkeen & Snacks; Traditional Namkeen","Namkeen & Snacks"
"Chana Dal","Spicy chana dal",40,"200 g",200,true,"Namkeen & Snacks; Traditional Namkeen","Namkeen & Snacks"
"Masala Peanuts","Spiced peanuts",35,"200 g",170,true,"Namkeen & Snacks; Traditional Namkeen","Namkeen & Snacks"
"Moong Dal","Roasted moong dal",50,"200 g",160,true,"Namkeen & Snacks; Traditional Namkeen","Namkeen & Snacks"
"Mixture","Spicy mixture",60,"250 g",140,true,"Namkeen & Snacks; Bhujia & Mixtures","Namkeen & Snacks"
"Chivda","Traditional chivda",55,"250 g",150,true,"Namkeen & Snacks; Bhujia & Mixtures","Namkeen & Snacks"
"Corn Flakes Mixture","Corn flakes namkeen",50,"250 g",130,true,"Namkeen & Snacks; Bhujia & Mixtures","Namkeen & Snacks"
"Khatta Meetha","Sweet and sour mix",45,"250 g",160,true,"Namkeen & Snacks; Bhujia & Mixtures","Namkeen & Snacks"
"Masala Mix","Spicy masala mix",65,"250 g",120,true,"Namkeen & Snacks; Bhujia & Mixtures","Namkeen & Snacks"
"Baked Chips","Healthy baked chips",40,"100 g",180,true,"Namkeen & Snacks; Healthy Snacks","Namkeen & Snacks"
"Roasted Makhana","Fox nuts",120,"200 g",100,true,"Namkeen & Snacks; Healthy Snacks","Namkeen & Snacks"
"Multigrain Chips","Healthy multigrain chips",45,"100 g",150,true,"Namkeen & Snacks; Healthy Snacks","Namkeen & Snacks"
"Roasted Chana","Spiced roasted chana",35,"200 g",170,true,"Namkeen & Snacks; Healthy Snacks","Namkeen & Snacks"
"Mixed Seeds","Healthy seed mix",80,"200 g",120,true,"Namkeen & Snacks; Healthy Snacks","Namkeen & Snacks"

"Maggi Noodles","Classic masala noodles",14,"70 g",300,true,"Noodles, Sauces & Instant Food; Instant Noodles","Noodles, Sauces & Instant Food"
"Top Ramen","Chicken flavored noodles",15,"70 g",280,true,"Noodles, Sauces & Instant Food; Instant Noodles","Noodles, Sauces & Instant Food"
"Wai Wai","Spicy instant noodles",16,"65 g",250,true,"Noodles, Sauces & Instant Food; Instant Noodles","Noodles, Sauces & Instant Food"
"Yippee Noodles","Veg masala noodles",14,"70 g",270,true,"Noodles, Sauces & Instant Food; Instant Noodles","Noodles, Sauces & Instant Food"
"Knorr Noodles","Chicken noodles",18,"70 g",240,true,"Noodles, Sauces & Instant Food; Instant Noodles","Noodles, Sauces & Instant Food"
"Penne Pasta","Italian penne pasta",80,"500 g",180,true,"Noodles, Sauces & Instant Food; Pasta & Vermicelli","Noodles, Sauces & Instant Food"
"Spaghetti","Classic spaghetti",85,"500 g",170,true,"Noodles, Sauces & Instant Food; Pasta & Vermicelli","Noodles, Sauces & Instant Food"
"Vermicelli","Fine vermicelli",60,"500 g",200,true,"Noodles, Sauces & Instant Food; Pasta & Vermicelli","Noodles, Sauces & Instant Food"
"Fusilli Pasta","Spiral pasta",90,"500 g",160,true,"Noodles, Sauces & Instant Food; Pasta & Vermicelli","Noodles, Sauces & Instant Food"
"Macaroni","Elbow macaroni",75,"500 g",190,true,"Noodles, Sauces & Instant Food; Pasta & Vermicelli","Noodles, Sauces & Instant Food"
"Pizza Sauce","Classic pizza sauce",60,"300 g",150,true,"Noodles, Sauces & Instant Food; Cooking Sauces","Noodles, Sauces & Instant Food"
"Pasta Sauce","Italian pasta sauce",120,"400 g",130,true,"Noodles, Sauces & Instant Food; Cooking Sauces","Noodles, Sauces & Instant Food"
"Tomato Ketchup","Classic tomato ketchup",45,"500 g",200,true,"Noodles, Sauces & Instant Food; Cooking Sauces","Noodles, Sauces & Instant Food"
"Chilli Sauce","Hot chilli sauce",50,"300 g",180,true,"Noodles, Sauces & Instant Food; Cooking Sauces","Noodles, Sauces & Instant Food"
"Soy Sauce","Chinese soy sauce",65,"300 ml",160,true,"Noodles, Sauces & Instant Food; Cooking Sauces","Noodles, Sauces & Instant Food"

"Shampoo","Moisturizing shampoo",180,"200 ml",150,true,"Personal Care; Hair Care","Personal Care"
"Conditioner","Smoothing conditioner",160,"200 ml",140,true,"Personal Care; Hair Care","Personal Care"
"Hair Oil","Natural hair oil",120,"200 ml",160,true,"Personal Care; Hair Care","Personal Care"
"Hair Gel","Styling hair gel",90,"100 g",180,true,"Personal Care; Hair Care","Personal Care"
"Hair Spray","Strong hold hair spray",110,"150 ml",130,true,"Personal Care; Hair Care","Personal Care"
"Body Wash","Refreshing body wash",200,"250 ml",170,true,"Personal Care; Bath & Body","Personal Care"
"Hand Soap","Antibacterial hand soap",80,"200 ml",200,true,"Personal Care; Bath & Body","Personal Care"
"Body Lotion","Moisturizing body lotion",250,"400 ml",150,true,"Personal Care; Bath & Body","Personal Care"
"Deodorant","Long lasting deodorant",120,"150 ml",180,true,"Personal Care; Bath & Body","Personal Care"
"Shower Gel","Luxury shower gel",220,"250 ml",160,true,"Personal Care; Bath & Body","Personal Care"
"Face Wash","Gentle face wash",150,"100 g",190,true,"Personal Care; Skin Care","Personal Care"
"Moisturizer","Hydrating moisturizer",200,"100 g",170,true,"Personal Care; Skin Care","Personal Care"
"Face Cream","Anti-aging face cream",300,"50 g",140,true,"Personal Care; Skin Care","Personal Care"
"Face Scrub","Exfoliating face scrub",180,"100 g",160,true,"Personal Care; Skin Care","Personal Care"
"Face Mask","Clay face mask",250,"100 g",130,true,"Personal Care; Skin Care","Personal Care"

"Dog Food","Premium dog food",450,"5 kg",100,true,"Pet Care; Dog Food","Pet Care"
"Puppy Food","Nutritious puppy food",400,"3 kg",120,true,"Pet Care; Dog Food","Pet Care"
"Senior Dog Food","Special senior dog food",500,"5 kg",80,true,"Pet Care; Dog Food","Pet Care"
"Dog Treats","Healthy dog treats",200,"500 g",150,true,"Pet Care; Dog Food","Pet Care"
"Dog Biscuits","Crunchy dog biscuits",150,"1 kg",180,true,"Pet Care; Dog Food","Pet Care"
"Cat Food","Premium cat food",400,"3 kg",110,true,"Pet Care; Cat Food","Pet Care"
"Kitten Food","Nutritious kitten food",350,"2 kg",130,true,"Pet Care; Cat Food","Pet Care"
"Cat Treats","Delicious cat treats",180,"200 g",160,true,"Pet Care; Cat Food","Pet Care"
"Cat Biscuits","Crunchy cat biscuits",120,"500 g",190,true,"Pet Care; Cat Food","Pet Care"
"Cat Wet Food","Premium cat wet food",250,"400 g",140,true,"Pet Care; Cat Food","Pet Care"
"Pet Bed","Comfortable pet bed",800,"piece",70,true,"Pet Care; Pet Accessories","Pet Care"
"Pet Toys","Interactive pet toys",300,"set",100,true,"Pet Care; Pet Accessories","Pet Care"
"Pet Collar","Adjustable pet collar",200,"piece",120,true,"Pet Care; Pet Accessories","Pet Care"
